,0
0,2
1,1
2,0
3,1
4,1
5,1
6,0
7,2
8,2
9,1
10,2
11,1
12,2
13,2
14,0
15,2
16,2
17,2
18,2
19,0
20,1
21,1
22,0
23,0
24,0
25,0
26,2
27,2
28,2
29,2
30,0
31,0
32,0
33,1
34,1
35,1
36,2
37,0
38,1
39,1
40,1
41,1
42,1
43,1
44,0
45,0
46,1
47,2
48,2
49,0
50,0
51,2
52,1
53,0
54,1
55,2
56,1
57,1
58,0
59,0
60,2
61,1
62,2
63,0
64,0
65,2
66,2
67,2
68,1
69,1
70,2
71,1
72,0
73,0
74,0
75,0
76,2
77,2
78,1
79,2
80,0
81,2
82,2
83,2
84,1
85,0
86,2
87,0
88,1
89,1
90,2
91,1
92,2
93,2
94,1
95,0
96,1
97,2
98,0
99,1
100,2
101,1
102,1
103,0
104,2
105,0
106,1
107,0
108,0
109,0
110,0
111,0
112,0
113,1
114,1
115,0
116,0
117,0
118,1
119,0
